
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:15:2C:49:97:F0, 2018-03-13 12:54:20, 2018-03-13 12:54:54,  6,  54, WPA2, CCMP, MGT, -68,       15,        1,   0.  0.  0.  0,   1, \x00, 
00:15:2C:49:97:F5, 2018-03-13 12:54:21, 2018-03-13 12:54:53,  6,  54, OPN, ,   , -70,       16,        4,   0.  0.  0.  0,   7, justice, 
68:14:01:28:76:5E, 2018-03-13 12:54:01, 2018-03-13 12:54:54,  1,  54, WPA2, CCMP,PSK, -71,       22,        0,   0.  0.  0.  0,  28, HP-Print-5e-LaserJet Pro MFP, 
00:06:31:E7:29:3E, 2018-03-13 12:54:03, 2018-03-13 12:54:51,  6,  54, WPA2 WPA, CCMP,PSK, -72,       22,        0,   0.  0.  0.  0,  12, CXNK001CD20F, 
78:61:7C:3E:01:72, 2018-03-13 12:53:38, 2018-03-13 12:54:54,  6,  54, WPA2, CCMP TKIP,PSK, -73,       41,        0,   0.  0.  0.  0,  17, WiFi Hotspot 7922, 
00:15:2C:49:9F:D2, 2018-03-13 12:53:23, 2018-03-13 12:54:42,  1,  54, WPA2, CCMP,PSK, -66,       39,        0,   0.  0.  0.  0,   9, PAC_Evans, 
00:15:2C:49:97:F4, 2018-03-13 12:54:21, 2018-03-13 12:54:41,  6,  54, WPA2, CCMP,PSK, -66,        6,        0,   0.  0.  0.  0,   1, \x00, 
68:9C:E2:F4:F9:A0, 2018-03-13 12:54:14, 2018-03-13 12:54:42,  1,  54, WPA2, CCMP, MGT, -66,        5,        1,   0.  0.  0.  0,   1, \x00, 
00:15:2C:49:97:F6, 2018-03-13 12:54:23, 2018-03-13 12:54:41,  6,  54, WPA2, CCMP, MGT, -66,        4,        0,   0.  0.  0.  0,   1, \x00, 
BC:67:1C:65:35:E4, 2018-03-13 12:53:57, 2018-03-13 12:54:39,  1,  54, WPA2, CCMP,PSK, -66,       21,        0,   0.  0.  0.  0,   1, \x00, 
0C:F5:A4:36:37:45, 2018-03-13 12:51:17, 2018-03-13 12:54:42,  1,  54, WPA2, CCMP,PSK, -66,        4,        0,   0.  0.  0.  0,   1, \x00, 
BC:67:1C:65:35:E2, 2018-03-13 12:53:57, 2018-03-13 12:54:39,  1,  54, OPN, ,   , -67,       15,        2,   0.  0.  0.  0,   1, \x00, 
BC:67:1C:65:35:E3, 2018-03-13 12:54:14, 2018-03-13 12:54:39,  1,  54, WPA2, CCMP, MGT, -67,       17,        0,   0.  0.  0.  0,   1, \x00, 
0C:F5:A4:36:37:41, 2018-03-13 12:54:42, 2018-03-13 12:54:42,  1,  54, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   1, \x00, 
0C:F5:A4:36:37:40, 2018-03-13 12:54:41, 2018-03-13 12:54:41,  1,  54, WPA2, CCMP, MGT, -68,        1,        0,   0.  0.  0.  0,   1, \x00, 
BC:67:1C:65:35:E5, 2018-03-13 12:54:04, 2018-03-13 12:54:41,  1,  54, OPN, ,   , -68,       11,        2,   0.  0.  0.  0,   7, justice, 
BC:67:1C:65:35:E0, 2018-03-13 12:54:04, 2018-03-13 12:54:41,  1,  54, WPA2, CCMP, MGT, -68,       15,        0,   0.  0.  0.  0,   1, \x00, 
00:15:2C:49:97:F1, 2018-03-13 12:54:19, 2018-03-13 12:54:41,  6,  54, WPA2 WPA, CCMP, MGT, -68,       21,        0,   0.  0.  0.  0,   1, \x00, 
BC:67:1C:65:35:E6, 2018-03-13 12:54:12, 2018-03-13 12:54:42,  1,  54, WPA2, CCMP, MGT, -68,       18,        0,   0.  0.  0.  0,   1, \x00, 
00:15:2C:49:97:F2, 2018-03-13 12:54:20, 2018-03-13 12:54:41,  6,  54, OPN, ,   , -68,       10,        0,   0.  0.  0.  0,   1, \x00, 
0C:F5:A4:36:37:43, 2018-03-13 12:51:12, 2018-03-13 12:54:42,  1,  54, WPA2, CCMP, MGT, -68,        5,        0,   0.  0.  0.  0,   1, \x00, 
0C:F5:A4:36:37:44, 2018-03-13 12:51:13, 2018-03-13 12:54:42,  1,  54, OPN, ,   , -68,        3,        1,   0.  0.  0.  0,  23, Evans_Auditorium-Public, 
00:15:2C:49:97:F3, 2018-03-13 12:54:20, 2018-03-13 12:54:41,  6,  54, WPA2, CCMP, MGT, -69,       20,        0,   0.  0.  0.  0,   1, \x00, 
00:15:2C:49:9C:B0, 2018-03-13 12:54:20, 2018-03-13 12:54:44,  1,  54, WPA2 OPN, CCMP, MGT, -72,        1,        1,   0.  0.  0.  0,   1, \x00, 
68:9C:E2:F4:F9:A5, 2018-03-13 12:54:12, 2018-03-13 12:54:32,  1,  54, WPA2, CCMP,PSK, -69,        4,        0,   0.  0.  0.  0,   1, \x00, 
00:0B:86:78:3E:30, 2018-03-13 12:54:32, 2018-03-13 12:54:32,  1,  54, WPA2, CCMP, MGT, -70,        1,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:0A:41:10, 2018-03-13 12:54:22, 2018-03-13 12:54:32,  1,  54, WPA2, CCMP, MGT, -71,        3,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:0A:41:11, 2018-03-13 12:54:32, 2018-03-13 12:54:32,  1,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   0, , 
