
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
20:BB:C0:C9:DA:60, 2018-03-23 13:20:44, 2018-03-23 13:21:37,  2,  54, WPA2, CCMP TKIP,PSK, -70,        9,        0,   0.  0.  0.  0,  13, GCColumbiaWAP, 
06:18:D6:81:40:20, 2018-03-23 13:21:16, 2018-03-23 13:21:16,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:4C:9E:0E:24:20, 2018-03-23 13:20:52, 2018-03-23 13:20:52,  1,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
24:F2:7F:B3:64:E1, 2018-03-23 13:21:34, 2018-03-23 13:21:34,  1,  54, OPN, ,   , -76,        0,        0,   0.  0.  0.  0,   8, WM-GUEST, 
20:C0:47:40:3A:DE, 2018-03-23 13:20:47, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP,PSK, -74,       20,       31,   0.  0.  0.  0,  10, Fios-L1MNQ, 
3C:CE:73:8E:65:9E, 2018-03-23 13:20:43, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP,PSK, -73,      118,        1,   0.  0.  0.  0,   9, SES_Guest, 
C8:B3:73:57:60:B7, 2018-03-23 13:20:44, 2018-03-23 13:22:03,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -73,        5,       19,   0.  0.  0.  0,  11, linksys2500, 
04:18:D6:04:C1:9A, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP,PSK, -72,       22,        9,   0.  0.  0.  0,  11, TC-Visitors, 
00:11:74:87:52:B0, 2018-03-23 13:20:44, 2018-03-23 13:22:04,  1,  54, WPA2, CCMP,PSK, -74,       91,        0,   0.  0.  0.  0,   7, RHGuest, 
04:F0:21:18:AB:96, 2018-03-23 13:20:44, 2018-03-23 13:22:04,  1,  54, WPA2, CCMP,PSK, -71,       12,       20,   0.  0.  0.  0,  32, ac93ffd25c2663ba8d8c4942545eed68, 
04:18:D6:82:40:45, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP, MGT, -68,      352,        0,   0.  0.  0.  0,  26, Training Centers Corporate, 
6C:B0:CE:EB:03:54, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, OPN, ,   , -70,      282,        0,   0.  0.  0.  0,  22, geontechnologies.guest, 
04:18:D6:82:3D:A8, 2018-03-23 13:20:43, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP, MGT, -61,      560,      622,   0.  0.  0.  0,  26, Training Centers Corporate, 
C4:49:BB:46:E2:08, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP TKIP,PSK, -55,      328,       53,   0.  0.  0.  0,  17, WiFi Hotspot 6682, 
00:11:74:87:4A:D0, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP,PSK, -54,      657,        0,   0.  0.  0.  0,   7, RHGuest, 
04:18:D6:82:3D:F1, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP, MGT, -50,      559,        0,   0.  0.  0.  0,  26, Training Centers Corporate, 
04:18:D6:82:3F:7B, 2018-03-23 13:20:44, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP,PSK, -57,      680,      488,   0.  0.  0.  0,  11, TC-Visitors, 
04:18:D6:04:C2:5B, 2018-03-23 13:20:43, 2018-03-23 13:22:06,  1,  54, WPA2, CCMP,PSK, -14,      733,      495,   0.  0.  0.  0,  11, TC-Visitors, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E6:2F:96:3B:AB:31, 2018-03-23 13:20:56, 2018-03-23 13:20:56, -68,        1, (not associated) ,
6E:ED:6E:06:8A:F3, 2018-03-23 13:20:59, 2018-03-23 13:20:59, -72,        1, (not associated) ,
C0:38:96:10:6B:73, 2018-03-23 13:20:55, 2018-03-23 13:20:55, -72,        2, (not associated) ,
26:DD:41:E3:DD:72, 2018-03-23 13:20:45, 2018-03-23 13:20:45, -54,        2, (not associated) ,
EA:98:E3:FE:B3:D6, 2018-03-23 13:20:47, 2018-03-23 13:20:47, -70,        2, (not associated) ,
96:0E:2E:2E:4F:33, 2018-03-23 13:20:46, 2018-03-23 13:20:46, -74,        1, (not associated) ,
A4:08:EA:93:AC:DA, 2018-03-23 13:20:44, 2018-03-23 13:20:44, -78,        1, 3C:CE:73:8E:65:9E,
B8:D7:AF:A8:A9:27, 2018-03-23 13:20:52, 2018-03-23 13:20:52, -72,        1, (not associated) ,
96:FE:F3:EB:18:47, 2018-03-23 13:20:54, 2018-03-23 13:20:54, -70,        1, (not associated) ,
46:0E:8B:56:05:E3, 2018-03-23 13:20:51, 2018-03-23 13:20:51, -68,        2, (not associated) ,
06:C4:D9:23:64:70, 2018-03-23 13:20:50, 2018-03-23 13:20:50, -62,        1, (not associated) ,
16:E3:3D:56:72:7B, 2018-03-23 13:20:54, 2018-03-23 13:20:54, -62,        2, (not associated) ,
98:E7:F5:A2:38:86, 2018-03-23 13:21:56, 2018-03-23 13:21:58, -78,        2, 04:18:D6:04:C1:9A,
A8:6B:AD:64:53:45, 2018-03-23 13:21:16, 2018-03-23 13:21:18, -76,        3, 20:C0:47:40:3A:DE,
90:C7:D8:D3:56:C3, 2018-03-23 13:21:29, 2018-03-23 13:21:29, -76,        2, (not associated) ,
6E:76:C0:4A:40:F2, 2018-03-23 13:21:57, 2018-03-23 13:21:57, -76,        2, (not associated) ,
00:23:A7:4F:AF:9C, 2018-03-23 13:20:54, 2018-03-23 13:21:59, -74,        7, (not associated) ,ClickShare-GeonTech
A8:6B:AD:93:F7:1B, 2018-03-23 13:21:25, 2018-03-23 13:21:28, -74,       11, 20:C0:47:40:3A:DE,
CA:DB:A7:2E:C9:5B, 2018-03-23 13:21:28, 2018-03-23 13:21:28, -74,        1, (not associated) ,
A8:6B:AD:35:36:D9, 2018-03-23 13:21:38, 2018-03-23 13:21:46, -74,       15, 20:C0:47:40:3A:DE,
40:4E:36:85:4F:7E, 2018-03-23 13:20:53, 2018-03-23 13:22:01, -74,       22, (not associated) ,
B4:18:D1:5D:AE:D3, 2018-03-23 13:20:45, 2018-03-23 13:22:02, -62,      320, 04:18:D6:04:C2:5B,TC-Visitors
E0:60:66:09:A6:40, 2018-03-23 13:20:57, 2018-03-23 13:21:39, -72,        3, 04:F0:21:18:AB:96,
B8:EE:65:46:07:7B, 2018-03-23 13:21:08, 2018-03-23 13:21:08, -72,        1, (not associated) ,
B8:8A:60:E0:12:A8, 2018-03-23 13:21:13, 2018-03-23 13:21:13, -72,        2, (not associated) ,T-Mobile
C0:33:5E:0E:C4:7F, 2018-03-23 13:21:23, 2018-03-23 13:21:26, -72,        6, (not associated) ,RHwlan,corp
5C:A3:9D:04:42:B1, 2018-03-23 13:21:01, 2018-03-23 13:21:31, -72,        4, (not associated) ,
94:65:9C:C4:C2:9B, 2018-03-23 13:21:31, 2018-03-23 13:21:31, -72,        1, (not associated) ,
B8:27:EB:54:02:AD, 2018-03-23 13:20:45, 2018-03-23 13:21:45, -72,        2, (not associated) ,
88:79:7E:02:38:47, 2018-03-23 13:22:00, 2018-03-23 13:22:02, -76,        6, 04:18:D6:04:C1:9A,TC-Visitors
