
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:B3:73:57:60:B7, 2018-03-23 13:24:30, 2018-03-23 13:24:58,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -74,        1,        0,   0.  0.  0.  0,  11, linksys2500, 
20:C0:47:40:3A:DE, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP,PSK, -74,       91,       11,   0.  0.  0.  0,  10, Fios-L1MNQ, 
3C:CE:73:8E:65:9E, 2018-03-23 13:23:56, 2018-03-23 13:24:58,  1,  54, WPA2, CCMP,PSK, -72,      128,        6,   0.  0.  0.  0,   9, SES_Guest, 
04:18:D6:04:C1:9A, 2018-03-23 13:23:55, 2018-03-23 13:24:57,  1,  54, WPA2, CCMP,PSK, -74,       20,        1,   0.  0.  0.  0,  11, TC-Visitors, 
04:F0:21:18:AB:96, 2018-03-23 13:23:56, 2018-03-23 13:24:58,  1,  54, WPA2, CCMP,PSK, -72,        2,       14,   0.  0.  0.  0,  32, ac93ffd25c2663ba8d8c4942545eed68, 
6C:B0:CE:EB:03:54, 2018-03-23 13:23:55, 2018-03-23 13:24:58,  1,  54, OPN, ,   , -72,      156,        0,   0.  0.  0.  0,  22, geontechnologies.guest, 
00:11:74:87:52:B0, 2018-03-23 13:23:55, 2018-03-23 13:24:58,  1,  54, WPA2, CCMP,PSK, -71,      124,        0,   0.  0.  0.  0,   7, RHGuest, 
04:18:D6:82:40:45, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP, MGT, -70,      281,        0,   0.  0.  0.  0,  26, Training Centers Corporate, 
20:BB:C0:C9:DA:60, 2018-03-23 13:24:09, 2018-03-23 13:24:58,  2,  54, WPA2, CCMP TKIP,PSK, -68,       11,        0,   0.  0.  0.  0,  13, GCColumbiaWAP, 
20:CF:30:B7:A6:88, 2018-03-23 13:24:50, 2018-03-23 13:24:50,  3,  54, WPA2, CCMP,PSK, -66,        1,        0,   0.  0.  0.  0,  11, TrapezeDemo, 
04:18:D6:82:3D:A8, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP, MGT, -59,      457,      346,   0.  0.  0.  0,  26, Training Centers Corporate, 
00:11:74:87:4A:D0, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP,PSK, -53,      522,        0,   0.  0.  0.  0,   7, RHGuest, 
C4:49:BB:46:E2:08, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP TKIP,PSK, -57,      287,      311,   0.  0.  0.  0,  17, WiFi Hotspot 6682, 
04:18:D6:82:3F:7B, 2018-03-23 13:23:56, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP,PSK, -53,      514,      399,   0.  0.  0.  0,  11, TC-Visitors, 
04:18:D6:82:3D:F1, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP, MGT, -49,      482,        0,   0.  0.  0.  0,  26, Training Centers Corporate, 
04:18:D6:04:C2:5B, 2018-03-23 13:23:55, 2018-03-23 13:24:59,  1,  54, WPA2, CCMP,PSK, -12,      557,      178,   0.  0.  0.  0,  11, TC-Visitors, 
00:00:00:00:00:00, 2018-03-23 13:24:47, 2018-03-23 13:24:49,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A8:6B:AD:35:36:D9, 2018-03-23 13:24:10, 2018-03-23 13:24:14, -78,        9, 20:C0:47:40:3A:DE,
88:79:7E:02:38:47, 2018-03-23 13:24:02, 2018-03-23 13:24:02, -76,        1, 04:18:D6:04:C1:9A,
E0:9D:31:2A:E0:BC, 2018-03-23 13:24:04, 2018-03-23 13:24:04, -76,        2, (not associated) ,
A8:6B:AD:93:F7:1B, 2018-03-23 13:24:30, 2018-03-23 13:24:32, -76,        2, 20:C0:47:40:3A:DE,
70:EC:E4:04:C6:24, 2018-03-23 13:24:42, 2018-03-23 13:24:42, -76,        1, (not associated) ,
00:23:A7:4F:AF:9C, 2018-03-23 13:24:54, 2018-03-23 13:24:54, -76,        1, (not associated) ,
D6:21:0E:3A:94:E7, 2018-03-23 13:23:59, 2018-03-23 13:23:59, -74,        1, (not associated) ,
40:98:AD:7B:7E:E4, 2018-03-23 13:24:47, 2018-03-23 13:24:49, -74,       12, 00:00:00:00:00:00,
98:E7:F5:A2:38:86, 2018-03-23 13:23:58, 2018-03-23 13:24:37, -72,        3, (not associated) ,L
C0:33:5E:0E:C4:7F, 2018-03-23 13:24:33, 2018-03-23 13:24:37, -72,        7, (not associated) ,corp,RHwlan
B0:35:9F:88:59:55, 2018-03-23 13:24:21, 2018-03-23 13:24:24, -72,        4, (not associated) ,T-Mobile,MetroPCS
8A:49:3C:24:6D:FF, 2018-03-23 13:24:23, 2018-03-23 13:24:23, -72,        1, (not associated) ,
E0:60:66:09:A6:40, 2018-03-23 13:24:02, 2018-03-23 13:24:33, -72,        3, 04:F0:21:18:AB:96,
3A:BF:20:64:47:AD, 2018-03-23 13:24:49, 2018-03-23 13:24:49, -72,        1, (not associated) ,
DC:86:D8:E3:AB:18, 2018-03-23 13:24:15, 2018-03-23 13:24:51, -70,       33, 04:18:D6:04:C1:9A,TC-Visitors
DC:A9:04:73:48:D2, 2018-03-23 13:24:04, 2018-03-23 13:24:44, -70,        3, (not associated) ,geontechnologies
6C:88:14:25:05:64, 2018-03-23 13:24:00, 2018-03-23 13:24:46, -70,       11, 04:18:D6:82:3D:A8,Training Centers Corporate
5E:01:B0:33:13:31, 2018-03-23 13:23:59, 2018-03-23 13:23:59, -70,        2, (not associated) ,
AE:A6:D6:22:6C:54, 2018-03-23 13:24:14, 2018-03-23 13:24:14, -70,        2, (not associated) ,
F4:B7:E2:61:D9:67, 2018-03-23 13:24:29, 2018-03-23 13:24:29, -70,        3, (not associated) ,MetroBaWa
CC:B0:DA:71:83:29, 2018-03-23 13:24:29, 2018-03-23 13:24:32, -70,        3, (not associated) ,
5C:A3:9D:04:42:B1, 2018-03-23 13:24:12, 2018-03-23 13:24:42, -70,        3, (not associated) ,
A0:CC:2B:02:0D:0D, 2018-03-23 13:24:49, 2018-03-23 13:24:50, -70,        2, (not associated) ,
DC:0B:34:DE:C4:18, 2018-03-23 13:24:20, 2018-03-23 13:24:20, -68,        2, (not associated) ,
6E:D1:22:5C:ED:5F, 2018-03-23 13:24:24, 2018-03-23 13:24:24, -68,        2, (not associated) ,Macao
8E:07:1F:D0:27:9D, 2018-03-23 13:24:28, 2018-03-23 13:24:28, -68,        1, (not associated) ,
D0:57:7B:02:8A:5F, 2018-03-23 13:24:11, 2018-03-23 13:24:36, -68,        3, (not associated) ,
AE:43:A0:22:9A:B5, 2018-03-23 13:24:33, 2018-03-23 13:24:33, -68,        2, (not associated) ,
98:CA:33:A8:6D:20, 2018-03-23 13:24:05, 2018-03-23 13:24:59, -62,      524, 04:18:D6:82:3F:7B,TC-Visitors
8A:E0:77:62:E4:A2, 2018-03-23 13:24:36, 2018-03-23 13:24:44, -66,        3, (not associated) ,
DA:C3:E3:9E:72:12, 2018-03-23 13:23:58, 2018-03-23 13:23:58, -66,        2, (not associated) ,
82:9A:09:10:C8:6B, 2018-03-23 13:24:04, 2018-03-23 13:24:04, -66,        2, (not associated) ,
5A:35:1B:D1:17:CD, 2018-03-23 13:24:04, 2018-03-23 13:24:04, -66,        2, (not associated) ,
F8:28:19:EE:94:C7, 2018-03-23 13:24:08, 2018-03-23 13:24:08, -66,        1, (not associated) ,
18:CF:5E:E1:EE:6C, 2018-03-23 13:24:17, 2018-03-23 13:24:20, -66,       18, 04:18:D6:82:3D:A8,
68:14:01:33:6A:11, 2018-03-23 13:24:09, 2018-03-23 13:24:50, -64,        6, (not associated) ,6T2X3
88:51:FB:24:62:67, 2018-03-23 13:23:56, 2018-03-23 13:24:57, -68,       33, (not associated) ,6T2X3
B6:27:20:CC:2C:E5, 2018-03-23 13:24:19, 2018-03-23 13:24:19, -64,        2, (not associated) ,
4C:66:41:65:0D:8D, 2018-03-23 13:24:26, 2018-03-23 13:24:26, -64,        1, (not associated) ,
9E:F4:79:7D:EB:76, 2018-03-23 13:24:50, 2018-03-23 13:24:50, -64,        1, (not associated) ,
46:1E:1B:53:ED:44, 2018-03-23 13:24:00, 2018-03-23 13:24:00, -62,        2, (not associated) ,
02:D3:FD:B7:9C:71, 2018-03-23 13:24:08, 2018-03-23 13:24:09, -62,        2, (not associated) ,
D6:DF:16:D3:AF:5E, 2018-03-23 13:24:12, 2018-03-23 13:24:12, -62,        2, (not associated) ,
8A:C5:54:5E:3D:02, 2018-03-23 13:24:36, 2018-03-23 13:24:36, -62,        2, (not associated) ,
FE:95:F0:E3:C6:F4, 2018-03-23 13:24:37, 2018-03-23 13:24:37, -62,        1, (not associated) ,
9C:B6:D0:ED:36:61, 2018-03-23 13:24:25, 2018-03-23 13:24:29, -60,        6, (not associated) ,
EE:FC:D0:AD:9F:F2, 2018-03-23 13:24:37, 2018-03-23 13:24:37, -60,        1, (not associated) ,
48:A1:95:BA:4D:81, 2018-03-23 13:24:40, 2018-03-23 13:24:40, -60,        1, (not associated) ,
8E:C6:29:82:58:01, 2018-03-23 13:24:49, 2018-03-23 13:24:49, -60,        2, (not associated) ,
70:EF:00:A4:38:FC, 2018-03-23 13:23:56, 2018-03-23 13:24:57, -58,       19, 04:18:D6:04:C2:5B,
42:B2:5A:6B:19:56, 2018-03-23 13:24:49, 2018-03-23 13:24:49, -58,        1, (not associated) ,
F6:C2:B1:A7:C5:F2, 2018-03-23 13:24:50, 2018-03-23 13:24:50, -58,        1, (not associated) ,
E0:9D:31:1A:2A:0C, 2018-03-23 13:23:56, 2018-03-23 13:24:58, -56,       79, 04:18:D6:82:3D:A8,
82:7D:C6:23:96:D6, 2018-03-23 13:24:47, 2018-03-23 13:24:47, -56,        1, (not associated) ,
48:A1:95:BB:DA:70, 2018-03-23 13:24:23, 2018-03-23 13:24:56, -56,       29, 04:18:D6:04:C2:5B,
8C:70:5A:0C:3A:6C, 2018-03-23 13:23:55, 2018-03-23 13:23:58, -54,       23, 04:18:D6:04:C2:5B,
9C:B6:D0:F7:4E:2B, 2018-03-23 13:24:26, 2018-03-23 13:24:29, -54,        2, (not associated) ,
B4:18:D1:5D:AE:D3, 2018-03-23 13:24:25, 2018-03-23 13:24:26, -52,        8, 04:18:D6:04:C2:5B,TC-Visitors
9C:B6:D0:F7:4C:A3, 2018-03-23 13:24:33, 2018-03-23 13:24:33, -52,        2, (not associated) ,
B8:27:EB:99:27:80, 2018-03-23 13:24:13, 2018-03-23 13:24:13, -50,        1, (not associated) ,
9C:B6:D0:F8:22:C7, 2018-03-23 13:24:30, 2018-03-23 13:24:30, -48,        2, (not associated) ,
F4:0F:24:20:3F:57, 2018-03-23 13:23:55, 2018-03-23 13:24:57, -46,      454, 04:18:D6:82:3D:A8,
9C:8D:7C:F5:EA:41, 2018-03-23 13:24:05, 2018-03-23 13:24:55, -44,       31, (not associated) ,
D4:61:9D:4E:A3:89, 2018-03-23 13:24:43, 2018-03-23 13:24:43, -40,        3, 04:18:D6:04:C2:5B,
B8:27:EB:A1:3A:93, 2018-03-23 13:24:30, 2018-03-23 13:24:30, -32,        1, (not associated) ,
44:80:EB:7E:3F:85, 2018-03-23 13:23:59, 2018-03-23 13:24:58, -18,      472, C4:49:BB:46:E2:08,belkin.642,@Home0532,WiFi Hotspot 6682
D8:FC:93:28:9D:35, 2018-03-23 13:24:00, 2018-03-23 13:24:00,  -1,        1, 3C:CE:73:8E:65:9E,
A8:6B:AD:64:53:45, 2018-03-23 13:24:56, 2018-03-23 13:24:57, -74,        9, 20:C0:47:40:3A:DE,
80:00:0B:61:BA:16, 2018-03-23 13:24:56, 2018-03-23 13:24:56, -72,        1, (not associated) ,
90:CD:B6:34:88:45, 2018-03-23 13:24:58, 2018-03-23 13:24:58, -68,        1, (not associated) ,

