
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
20:AA:4B:33:15:7B, 2017-12-27 11:29:51, 2017-12-27 11:32:10,  1,  54, OPN, ,   , -54,      203,        0,   0.  0.  0.  0,  16, Cisco14070-guest, 
20:AA:4B:33:15:79, 2017-12-27 11:29:51, 2017-12-27 11:32:10,  1,  54, OPN, ,   , -54,      203,        0,   0.  0.  0.  0,  10, Cisco14070, 
60:38:E0:73:B5:38, 2017-12-27 11:29:51, 2017-12-27 11:32:10, 11,  54, WPA2, CCMP,PSK, -39,      363,      107,   0.  0.  0.  0,  16, MonitoredConsent, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F4:8C:50:C2:E6:92, 2017-12-27 11:30:10, 2017-12-27 11:31:13, -62,       11, 60:38:E0:73:B5:38,MonitoredConsent
9C:B6:D0:01:21:4D, 2017-12-27 11:29:54, 2017-12-27 11:32:05, -62,       30, 60:38:E0:73:B5:38,
A4:17:31:37:A9:B7, 2017-12-27 11:29:58, 2017-12-27 11:32:04, -62,       22, 60:38:E0:73:B5:38,
44:D2:44:73:56:8A, 2017-12-27 11:32:08, 2017-12-27 11:32:08, -62,        1, 60:38:E0:73:B5:38,
FC:D8:48:0E:3D:DB, 2017-12-27 11:30:01, 2017-12-27 11:31:54, -52,       10, 60:38:E0:73:B5:38,
90:B0:ED:4A:EA:AF, 2017-12-27 11:29:53, 2017-12-27 11:32:10, -44,       66, 60:38:E0:73:B5:38,MonitoredConsent
7C:1E:52:82:8F:73, 2017-12-27 11:29:51, 2017-12-27 11:31:59, -42,       78, 60:38:E0:73:B5:38,
FC:19:10:8B:D2:15, 2017-12-27 11:32:05, 2017-12-27 11:32:10, -42,        3, 60:38:E0:73:B5:38,
44:80:EB:7E:3F:85, 2017-12-27 11:30:17, 2017-12-27 11:32:01, -20,       31, 60:38:E0:73:B5:38,@Home0532,belkin.642
7C:67:A2:F2:96:CB, 2017-12-27 11:31:21, 2017-12-27 11:32:03,   0,       11, 60:38:E0:73:B5:38,MonitoredConsent

